timestamp(ms),X(g),Y(g),Z(g),class
232513,-3.14,-1.45,-9.85,5
245269,-3.14,-1.49,-9.77,5
173437,-3.14,-1.53,-9.85,5
77605,-2.24,-1.18,-10.04,2
24421,-2.35,-1.45,-9.92,0
179389,-2.75,-1.41,-9.81,4
178213,-3.92,-1.49,-9.41,1
242185,-2.71,-1.33,-9.85,3
213517,-2.75,-1.41,-9.92,4
59041,-2.71,-1.41,-9.92,4
77857,-2.24,-1.18,-10.04,2
178765,-2.71,-1.41,-9.85,4
100405,-2.63,-1.37,-9.92,3
211333,-2.24,-1.18,-10.04,2
144769,-2.08,-1.22,-10.04,2
103189,-2.20,-1.29,-10.04,2
153541,-3.96,-1.49,-9.57,1
77293,-3.14,-1.53,-9.81,5
144601,-2.16,-1.22,-10.04,2
206425,-2.24,-1.22,-10.04,2
74173,-3.14,-1.49,-9.77,5
59245,-2.39,-1.45,-9.92,0
140125,-4.00,-1.49,-9.49,1
73285,-3.10,-1.53,-9.73,5
45277,-2.39,-1.45,-10.00,0
192973,-2.20,-1.18,-10.00,2
57049,-2.71,-1.33,-9.89,3
232633,-3.96,-1.45,-9.41,1
59725,-3.77,-1.49,-9.65,1
176857,-2.39,-1.37,-9.96,0
68689,-2.75,-1.37,-9.92,3
44929,-2.16,-1.26,-10.04,2
220057,-2.39,-1.26,-10.00,0
220345,-2.35,-1.37,-9.96,0
171181,-3.84,-1.53,-9.53,1
243121,-2.71,-1.37,-9.92,3
152857,-3.88,-1.49,-9.49,1
25549,-3.88,-1.45,-9.57,1
69577,-2.63,-1.49,-9.92,4
170857,-2.20,-1.22,-10.00,2
91729,-2.71,-1.45,-9.92,4
105493,-2.67,-1.41,-9.92,4
156865,-3.18,-1.45,-9.85,5
53917,-3.80,-1.53,-9.57,1
151177,-2.16,-1.22,-10.00,2
104017,-2.43,-1.41,-9.92,0
207457,-3.14,-1.45,-9.77,5
149113,-2.20,-1.22,-10.00,2
53989,-3.92,-1.49,-9.41,1
209197,-4.00,-1.49,-9.57,1
80785,-2.67,-1.45,-9.89,3
80413,-3.22,-1.45,-9.77,5
141037,-2.71,-1.41,-9.89,4
33937,-2.71,-1.41,-9.89,3
154897,-2.63,-1.33,-9.96,3
152497,-2.43,-1.41,-9.89,0
93625,-2.71,-1.41,-9.89,3
79537,-2.47,-1.45,-9.92,0
116749,-2.75,-1.41,-9.96,4
257749,-2.16,-1.18,-10.00,2
235129,-2.20,-1.22,-10.04,2
54793,-2.20,-1.26,-9.96,2
217033,-2.39,-1.29,-9.96,0
160573,-2.20,-1.18,-9.96,2
118009,-2.16,-1.22,-10.00,2
121189,-2.67,-1.37,-9.92,3
114409,-3.14,-1.53,-9.85,5
54301,-2.71,-1.45,-9.89,4
